"Domain","Capability","Priority","Present","MaturityScore","ProductionStatus","RelevantScreen","RelevantFile","APIOrDataSource","PermissionEvidence","AuditEvidence","TestEvidence","IntegrationEvidence","Screenshot","Gap","Risk","RecommendedNextTask","VerificationMethod","ManualUITested","CodeInspected","AutomatedTestPresent","BackendVerified","ExternalIntegrationVerified"
"B","42 CFR Part 2 patient notice","Critical","Yes","2","Demo","MedicalRecords","MedicalRecords.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Notice not automatically attached to records","Critical","Automate Part 2 notice attachment on SUD record access","Code Inspection","No","Yes","No","No","No"
"B","Patient rights notice","High","Yes","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Persist patient rights acknowledgment","Code Inspection","No","Yes","No","No","No"
"B","HIPAA notice of privacy practices","Critical","Yes","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","Critical","Persist signed NPP with date and version","Code Inspection","No","Yes","No","No","No"
"B","Advance directive collection","Medium","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","Medium","Add advance directive collection and storage","Unable to Verify","No","No","No","No","No"
"B","Primary care provider attribution","Medium","Yes","1","Demo","Admissions","Admissions.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted","Medium","Add PCP to patient model with NPI lookup","Code Inspection","No","Yes","No","No","No"
"B","Pharmacy preference collection","Medium","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","Medium","Add preferred pharmacy field at intake","Unable to Verify","No","No","No","No","No"
"B","Consent to treat collection","Critical","Yes","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Consent signature not persisted","Critical","Persist consent with wet signature and timestamp","Code Inspection","No","Yes","No","No","No"
"B","Language and interpreter needs","Medium","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","Medium","Add language preference and interpreter flag to demographics","Unable to Verify","No","No","No","No","No"
"B","Race and ethnicity collection (USCDI)","Medium","Yes","1","Demo","Admissions","Admissions.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted; USCDI compliance not verified","Medium","Add USCDI-compliant race/ethnicity fields","Code Inspection","No","Yes","No","No","No"
"B","Gender identity and sexual orientation (USCDI)","Medium","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","Medium","Add SOGI fields per USCDI requirements","Unable to Verify","No","No","No","No","No"
"C","Real-time bed board","Critical","Yes","2","Demo","CensusBedBoard","CensusBedBoard.tsx","mockPatients.ts","full for director_of_operations","In-memory only","None","None","","All mock data","High","Build real-time bed board with database-backed occupancy","Code Inspection","No","Yes","No","No","No"
"C","Bed type configuration","High","Yes","1","Demo","BedManagement","BedManagement.tsx","Page-local","full for director_of_operations","In-memory only","None","None","","Not persisted","High","Persist bed configuration to tenant settings","Code Inspection","No","Yes","No","No","No"
"C","Patient-to-bed assignment","Critical","Yes","2","Demo","BedManagement","BedManagement.tsx","mockPatients.ts","full for admin_staff","In-memory only","None","None","","Not persisted","Critical","Implement durable bed assignment with conflict detection","Code Inspection","No","Yes","No","No","No"
"C","Out-of-service bed tracking","High","Yes","1","Demo","BedManagement","BedManagement.tsx","Page-local","full for director_of_operations","In-memory only","None","None","","Not persisted","Medium","Add maintenance and out-of-service bed lifecycle","Code Inspection","No","Yes","No","No","No"
"C","Census report generation","High","Yes","2","Demo","CensusBedBoard","CensusBedBoard.tsx","mockPatients.ts","full for director_of_operations","In-memory only","None","None","","Census data is mock","High","Generate census report from real admission/discharge data","Code Inspection","No","Yes","No","No","No"
"C","Average length of stay calculation","High","Yes","1","Demo","Dashboard","Dashboard.tsx","mockPatients.ts","full for ownership","None","None","None","","LOS calculated from mock admit dates","High","Compute ALOS from real admission/discharge timestamps","Code Inspection","No","Yes","No","No","No"
"C","Occupancy rate tracking","High","Yes","1","Demo","Dashboard","Dashboard.tsx","mockPatients.ts","full for director_of_operations","None","None","None","","Occupancy from mock data","High","Compute occupancy from real bed assignments","Code Inspection","No","Yes","No","No","No"
"C","Pending admit queue management","High","Yes","2","Demo","CensusBedBoard","CensusBedBoard.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted","High","Persist pending admit queue with ETA tracking","Code Inspection","No","Yes","No","No","No"
"C","Pending discharge queue","High","Yes","2","Demo","CensusBedBoard","CensusBedBoard.tsx","mockPatients.ts","full for admin_staff","In-memory only","None","None","","Not persisted","High","Persist pending discharge queue with target date","Code Inspection","No","Yes","No","No","No"
"C","Discharge undo window","Medium","Yes","2","Demo","Discharges","Discharges.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted across sessions","Medium","Persist undo window state across sessions (task #230)","Code Inspection","No","Yes","No","No","No"
"C","Transfer management","High","Yes","1","Demo","CensusBedBoard","CensusBedBoard.tsx","Page-local","full for director_of_operations","In-memory only","None","None","","No real transfer workflow","High","Implement level-of-care transfer with documentation chain","Code Inspection","No","Yes","No","No","No"
"C","Level-of-care change workflow","High","Yes","2","Demo","Admissions","Admissions.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Implement LOC change with medical necessity justification","Code Inspection","No","Yes","No","No","No"
"C","Facility-level dashboards","High","Yes","2","Demo","Dashboard","Dashboard.tsx","mockPatients.ts","full for director_of_operations","None","None","None","","All mock data","High","Build real facility metrics from live census data","Code Inspection","No","Yes","No","No","No"
"C","Multi-facility view","Low","No","0","Missing","Dashboard","","None","","","None","None","","Single facility only","High","Implement multi-facility tenant model","Unable to Verify","No","No","No","No","No"
"C","Bed hold management","Medium","No","0","Missing","BedManagement","","None","","","None","None","","Feature absent","Medium","Add bed hold workflow with authorization tracking","Unable to Verify","No","No","No","No","No"
"C","Waitlist-to-bed assignment automation","Low","No","0","Missing","","","None","","","None","None","","Feature absent","Low","Add rules-based waitlist-to-bed matching","Unable to Verify","No","No","No","No","No"
"D","Progress note creation (BIRP)","Critical","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx","mockPatients.ts, aiNoteEngine.ts","full for certified_clinician","In-memory only (aiAuditLog)","Unit tests (96)","None","screenshots/login.jpg","No persistence","Critical","Add note persistence to database","Automated Test","No","Yes","Yes","No","No"
"D","Progress note creation (DAP)","Critical","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx","mockPatients.ts, aiNoteEngine.ts","full for certified_clinician","In-memory only","Unit tests (96)","None","","No persistence","Critical","Add note persistence to database","Automated Test","No","Yes","Yes","No","No"
"D","Progress note creation (SOAP)","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx","mockPatients.ts, aiNoteEngine.ts","full for certified_clinician","In-memory only","Unit tests (96)","None","","No persistence","Critical","Add note persistence to database","Automated Test","No","Yes","Yes","No","No"
"D","Progress note creation (GIRP)","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx","mockPatients.ts, aiNoteEngine.ts","full for certified_clinician","In-memory only","Unit tests (96)","None","","No persistence","Critical","Add note persistence to database","Automated Test","No","Yes","Yes","No","No"
"D","DAP note dedicated workflow","High","Yes","2.5","Demo","DAPNoteWorkflow","DAPNoteWorkflow.tsx","mockPatients.ts","full for certified_clinician","In-memory only","None","None","","May duplicate ProgressNotes BIRP/DAP","Medium","Consolidate or clearly differentiate DAPNoteWorkflow vs ProgressNotes","Code Inspection","No","Yes","No","No","No"
"D","Clinician electronic signature on notes","Critical","Yes","2.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx, SignatureModal.tsx, WetSignatureCanvas.tsx","None","full for certified_clinician","In-memory only","None","None","","No backend signature storage","Critical","Persist signatures with timestamp and signer identity","Code Inspection","No","Yes","No","No","No"
"D","Co-signature workflow for supervised clinicians","Critical","Yes","2","Demo","CosignQueue","CosignQueue.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Co-sign queue not backed by real note submission","Critical","Enforce co-sign requirement at note submission via backend","Code Inspection","No","Yes","No","No","No"
"D","Note locking after signature","Critical","Yes","2","Demo/Partial","ProgressNotes","ProgressNotes.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Note lock is UI-only; no backend immutability","Critical","Implement immutable note versioning with backend lock on sign","Code Inspection","No","Yes","No","No","No"
"D","Addendum workflow","High","No","0","Missing","ProgressNotes","","None","","","None","None","","Feature absent","High","Add addendum to signed notes with original preserved","Unable to Verify","No","No","No","No","No"
"D","Note version history","High","No","0","Missing","ProgressNotes","","None","","","None","None","","Feature absent","High","Implement note version chain in database","Unable to Verify","No","No","No","No","No"
"D","Note search and filtering","High","Yes","1.5","Demo","PatientDetail","PatientDetail.tsx","mockPatients.ts","full for certified_clinician","None","None","None","","Search is client-side on mock data","High","Add indexed note search with date/type/author filters","Code Inspection","No","Yes","No","No","No"
"D","Progress note template library","High","Yes","2.5","Demo","ProgressNotes","ProgressNotes.tsx, aiNoteEngine.ts","Page-local templates","full for certified_clinician","None","None","None","","Templates are hardcoded in aiNoteEngine","Medium","Build configurable template library with tenant customization","Code Inspection","No","Yes","No","No","No"
"D","Group therapy notes with individual member participation","High","Yes","2.5","Demo","GroupNotes","GroupNotes.tsx","mockGroups.ts","full for certified_clinician","In-memory only","None","None","","Not persisted","High","Persist group notes with per-member participation","Code Inspection","No","Yes","No","No","No"
"D","Biopsychosocial assessment","High","Yes","2.5","Demo","BiopsychosocialAssessment","BiopsychosocialAssessment.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Persist BPS assessment with signature","Code Inspection","No","Yes","No","No","No"
"D","Crisis safety assessment","Critical","Yes","2.5","Demo","CrisisAssessment","CrisisAssessment.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Not persisted","Critical","Persist crisis assessment with escalation routing","Code Inspection","No","Yes","No","No","No"
"D","Discharge summary authoring","High","Yes","2.5","Demo","DischargeSummary","DischargeSummary.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Persist discharge summary with signature chain","Code Inspection","No","Yes","No","No","No"
"D","Treatment plan creation","Critical","Yes","2.5","Demo","TreatmentPlans","TreatmentPlans.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Not persisted","Critical","Persist treatment plans with goal/objective structure","Code Inspection","No","Yes","No","No","No"
"D","Treatment plan review and update cycle","High","Yes","2","Demo","TreatmentPlans","TreatmentPlans.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Review cycle not tracked","High","Implement review due-date tracking and reminder workflow","Code Inspection","No","Yes","No","No","No"
"D","Treatment plan patient signature","High","Yes","2","Demo","TreatmentPlans","TreatmentPlans.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Patient signature not persisted","High","Add patient signature capture to treatment plan finalization","Code Inspection","No","Yes","No","No","No"
"D","ASAM multidimensional assessment","Critical","Yes","2.5","Demo","ASAMAssessments","ASAMAssessments.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","Critical","Persist ASAM assessments with automatic LOC recommendation","Code Inspection","No","Yes","No","No","No"
"D","ASAM level-of-care recommendation","High","Yes","1.5","Demo","ASAMAssessments","ASAMAssessments.tsx","Page-local","full for clinical_supervisor","None","None","None","","LOC recommendation is UI-only","High","Implement ASAM criteria-based LOC recommendation engine","Code Inspection","No","Yes","No","No","No"
"D","Measurement-based care instruments (PHQ-9/GAD-7/AUDIT/DAST)","High","Yes","2","Demo","MeasurementBasedCare","MeasurementBasedCare.tsx","Page-local","full for certified_clinician","In-memory only","None","None","","No license; not persisted","High","Add validated instrument scoring with persistence and trend tracking","Code Inspection","No","Yes","No","No","No"
"D","Nursing note workflow","High","No","0","Missing","","","None","","","None","None","","Feature absent — nursing documents in MAR only","High","Create dedicated nursing note type with separate permissions","Unable to Verify","No","No","No","No","No"
"D","Physician note workflow","High","No","0","Missing","PhysicianOrders","","None","","","None","None","","Physician notes not separate from orders","High","Add physician note/H&P template with CPOE linkage","Unable to Verify","No","No","No","No","No"
"D","Note completion tracking and alerts","High","Yes","2","Demo","MyCaseload","MyCaseload.tsx","mockPatients.ts","full for certified_clinician","In-memory only","None","None","","No backend overdue tracking","High","Track note due dates by encounter type with escalation alerts","Code Inspection","No","Yes","No","No","No"
"D","Clinical note export (PDF)","High","Yes","1","Demo","ProgressNotes","ProgressNotes.tsx","None","full for certified_clinician","None","None","None","","No real PDF generation","High","Implement server-side PDF generation for signed notes","Code Inspection","No","Yes","No","No","No"
"D","Chart audit documentation","High","Yes","2","Demo","ChartAuditTool","ChartAuditTool.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Not persisted","Medium","Persist chart audit findings with corrective action tracking","Code Inspection","No","Yes","No","No","No"
"E","Medication Administration Record (MAR)","Critical","Yes","2","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory only","None","None","","No persistence; no duplicate-dose prevention","Critical","Build durable MAR with backend administration record and safety checks","Code Inspection","No","Yes","No","No","No"
"E","eMAR — five rights verification","Critical","No","0","Missing","NursingMAR","","None","","","None","None","","No barcode or verification workflow","Critical","Implement 5-rights verification (patient/drug/dose/route/time) at administration","Unable to Verify","No","No","No","No","No"
"E","Physician order entry (CPOE)","Critical","Yes","2","Demo","PhysicianOrders","PhysicianOrders.tsx","mockPatients.ts, mockMedications.ts","full for prescriber","In-memory only","None","None","","No real order routing","Critical","Build CPOE with backend order persistence and routing","Code Inspection","No","Yes","No","No","No"
"E","Order entry — labs and imaging","High","Yes","2","Demo","OrderEntry","OrderEntry.tsx","mockLabs.ts","full for prescriber","In-memory only","None","None","","No real lab routing","High","Implement electronic lab and imaging order submission","Code Inspection","No","Yes","No","No","No"
"E","E-prescribing (NCPDP SCRIPT)","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","E-prescribing absent","Critical","Integrate Surescripts or DrFirst for e-prescribing","Unable to Verify","No","No","No","No","No"
"E","Controlled substance e-prescribing (EPCS)","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","EPCS absent","Critical","Implement EPCS with DEA-compliant identity verification","Unable to Verify","No","No","No","No","No"
"E","PDMP query at prescribing","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","No PDMP integration","Critical","Integrate state PDMP (Bamboo Health / NarxCare)","Unable to Verify","No","No","No","No","No"
"E","Drug interaction checking","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","No drug database integration","Critical","Integrate drug interaction database (FDB or Multum)","Unable to Verify","No","No","No","No","No"
"E","Allergy checking at order entry","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","No allergy checking","Critical","Implement allergy-drug interaction check at CPOE","Unable to Verify","No","No","No","No","No"
"E","Medication reconciliation at admission","High","Yes","1","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory only","None","None","","No reconciliation workflow","High","Add medication reconciliation queue at admission","Code Inspection","No","Yes","No","No","No"
"E","Medication reconciliation at discharge","High","No","0","Missing","NursingMAR","","None","","","None","None","","Discharge reconciliation absent","High","Add discharge medication reconciliation with patient counseling documentation","Unable to Verify","No","No","No","No","No"
"E","MAT program management (buprenorphine/methadone/naltrexone)","Critical","Yes","2","Demo","MATManagement","MATManagement.tsx","mockPatients.ts","full for prescriber","In-memory only","None","None","","No pharmacy integration; no persistence","Critical","Build MAT workflow with pharmacy integration and dosing schedule persistence","Code Inspection","No","Yes","No","No","No"
"E","Methadone dosing and take-home tracking","Critical","No","0","Missing","MATManagement","","None","","","None","None","","Take-home tracking absent","Critical","Implement take-home policy,  missed dose,  and diversion tracking","Unable to Verify","No","No","No","No","No"
"E","CIWA-Ar withdrawal assessment","Critical","Yes","2.5","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory only","None","None","","Scores not persisted","Critical","Persist CIWA-Ar scores with trend tracking and escalation routing","Code Inspection","No","Yes","No","No","No"
"E","COWS withdrawal assessment","Critical","Yes","2.5","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory only","None","None","","Scores not persisted","Critical","Persist COWS scores with escalation routing","Code Inspection","No","Yes","No","No","No"
"E","Withdrawal score trending and alert thresholds","High","Yes","2","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory only","None","None","","No real alert delivery","High","Implement threshold-based escalation with real notification delivery","Code Inspection","No","Yes","No","No","No"
"E","Vital signs documentation and trending","High","Yes","1.5","Demo","NursingMAR","NursingMAR.tsx","mockVitals.ts","full for nursing","In-memory only","None","None","","Vitals not persisted","High","Persist vital signs with trend calculation and critical value alerts","Code Inspection","No","Yes","No","No","No"
"E","PRN medication administration documentation","High","Yes","2","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory only","None","None","","Not persisted","High","Persist PRN events with effectiveness documentation","Code Inspection","No","Yes","No","No","No"
"E","Medication waste documentation","High","No","0","Missing","NursingMAR","","None","","","None","None","","Feature absent","High","Add controlled substance waste documentation with dual-signature","Unable to Verify","No","No","No","No","No"
"E","Formulary management","High","Yes","2","Demo","FormularyManagement","FormularyManagement.tsx","mockMedications.ts","full for prescriber","In-memory only","None","None","","Formulary not persisted","High","Persist formulary with approval workflow and version history","Code Inspection","No","Yes","No","No","No"
"E","Drug formulary tier configuration","Medium","Yes","1","Demo","FormularyManagement","FormularyManagement.tsx","Page-local","full for prescriber","None","None","None","","Tiers are UI-only","Medium","Add formulary tier configuration with approval rules","Code Inspection","No","Yes","No","No","No"
"E","UA drug testing chain of custody","High","Yes","2.5","Demo/Partial","UADrugTesting","UADrugTesting.tsx","localStorage","full for nursing","localStorage","None","None","","No lab integration; localStorage only","High","Integrate electronic chain of custody with lab interface","Code Inspection","No","Yes","No","No","No"
"E","UA drug testing results interface","High","Yes","1","Demo","UADrugTesting","UADrugTesting.tsx","Page-local","full for nursing","None","None","None","","No real lab results","High","Integrate HL7 lab result interface for UA results","Code Inspection","No","Yes","No","No","No"
"E","Toxicology interpretation alerts","Medium","No","0","Missing","UADrugTesting","","None","","","None","None","","Feature absent","Medium","Add clinical decision support for unexpected toxicology results","Unable to Verify","No","No","No","No","No"
"E","Pain management assessment","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Add validated pain scale (NRS/FLACC) to nursing workflow","Unable to Verify","No","No","No","No","No"
"F","Individual appointment scheduling","Critical","Yes","1.5","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory only","None","None","","No booking engine","Critical","Implement appointment booking with availability and conflict detection","Code Inspection","No","Yes","No","No","No"
"F","Group therapy scheduling","Critical","Yes","1.5","Demo","GroupSchedule","GroupSchedule.tsx","mockGroups.ts","full for admin_staff","In-memory only","None","None","","No real scheduling backend","High","Persist group schedule with capacity and waitlist","Code Inspection","No","Yes","No","No","No"
"F","Recurring appointment creation","High","No","0","Missing","AppointmentCalendar","","None","","","None","None","","Feature absent","High","Add recurring appointment series creation","Unable to Verify","No","No","No","No","No"
"F","Scheduling conflict detection","High","Yes","1","Demo","StaffScheduling","StaffScheduling.tsx","Page-local","full for director_of_operations","In-memory only","None","None","","No real conflict resolution","High","Implement server-side conflict detection across patients and staff","Code Inspection","No","Yes","No","No","No"
"F","Patient appointment reminders (SMS/email)","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Integrate Twilio/Sendgrid for appointment reminders","Unable to Verify","No","No","No","No","No"
"F","Appointment status tracking (Scheduled/Confirmed/No-Show/Cancelled)","High","Yes","1.5","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Status not persisted","High","Persist appointment status with audit trail","Code Inspection","No","Yes","No","No","No"
"F","No-show and cancellation tracking","High","Yes","1","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted","High","Track no-shows for billing and outcome analysis","Code Inspection","No","Yes","No","No","No"
"F","Telehealth session management","Critical","Yes","1","Demo","TelehealthConsults","TelehealthConsults.tsx","Page-local","full for certified_clinician","None","None","None","","Placeholder only; no video platform","Critical","Integrate HIPAA-compliant video (Doxy.me or Zoom for Healthcare)","Code Inspection","No","Yes","No","No","No"
"F","Telehealth consent and documentation","Critical","No","0","Missing","TelehealthConsults","","None","","","None","None","","Feature absent","Critical","Add telehealth consent and session documentation linkage","Unable to Verify","No","No","No","No","No"
"F","Telehealth billing code linkage (CPT 99213/90837 etc)","High","No","0","Missing","TelehealthConsults","","None","","","None","None","","Feature absent","High","Link telehealth encounters to CPT codes for billing","Unable to Verify","No","No","No","No","No"
"F","Family therapy session scheduling","Medium","Yes","1","Demo","FamilyEngagement","FamilyEngagement.tsx","mockPatients.ts","full for certified_clinician","In-memory only","None","None","","Not persisted","Medium","Add family session scheduling integrated with calendar","Code Inspection","No","Yes","No","No","No"
"F","Group therapy curriculum management","High","Yes","2","Demo","GroupTherapyCurriculum","GroupTherapyCurriculum.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Static curriculum data","Medium","Build configurable curriculum library with session linking","Code Inspection","No","Yes","No","No","No"
