FileName,ComponentName,RouteKey,PrimaryRoles,PrimaryPurpose,SubTabs,KeyActions,ActionsWired,DataSource,PersistenceType,EmptyStatePresent,ErrorHandlingPresent,ReadOnlyEnforced,LockedButtonUsed,ApproxLines,DomainCategory,MaturityScore,ProductionStatus,KnownGaps
BusinessDevelopment.tsx,BusinessDevelopment,BusinessDevelopment,"business_development, ownership",Business development activity tracking,"Contacts, Pipeline, Outreach, Analytics",Manage contacts; track pipeline; log outreach,Partial (local state),Page-local BD data,None,No,No,No,No,~800,CRM/Business,2,Demo,No CRM integration; no persistence
BedManagement.tsx,BedManagement,BedManagement,"admin_staff, director_of_operations",Detailed bed-level management,"Bed Map, Assignments, Maintenance",View beds; assign patient; mark maintenance,Partial (local state),Page-local bed data,None,No,No,No,No,~700,Bed Management,2,Demo,No real bed assignment backend
RevenueCycle.tsx,RevenueCycle,RevenueCycle,"billing_staff, accounting_staff",Revenue cycle management and billing,"Claims Dashboard, AR, Denials, Payments",View claims; track AR; manage denials; view payments,Demo (no real submission),Page-local billing data,None,No,No,No,No,~900,Revenue Cycle,1.5,Demo,No clearinghouse; no claim submission; entirely UI-only
AuditCompliance.tsx,AuditCompliance,AuditCompliance,"director_of_operations, ownership",CARF/Joint Commission audit readiness,None (inline),Review audit schedule; manage corrective actions; view readiness,Partial (local state),mockCompliance + page-local,None,No,No,No,No,~700,Compliance,2,Demo,No persistence; no real survey workflow
Training.tsx,Training,Training,All staff,Staff training and LMS access,"Course Library, My Courses, Completions",Browse courses; mark complete; view history,Demo (local state),Page-local training data,None,No,No,No,No,~600,Workforce,1.5,Demo,No real LMS integration
Settings.tsx,Settings,Settings,All staff,Application and account settings,"Profile, Notifications, Appearance, Security",Edit profile; configure preferences,Partial (local state),mockStaff (current user),None,No,No,No,No,~600,Platform,1.5,Demo,No persistence; no real settings backend
HelpSupport.tsx,HelpSupport,HelpSupport,All staff,Help documentation and support,"Getting Started, Guides, FAQs, Contact",Browse help; search; contact support,Partial (navigation/search),Page-local help content,None,No,No,No,No,~500,Platform,2,Demo,No real ticketing integration; version 1.3.0 documented
UADrugTesting.tsx,UADrugTesting,UADrugTesting,"nursing, bht",UA drug testing workflow management,"Pending, In Progress, Completed",Create specimen; track chain of custody; record results,Partial (localStorage for workflow items),Page-local UA data,localStorage (workflow items),No,No,No,No,~700,Clinical/Nursing,2.5,Demo/Partial,Results not persisted to backend; no lab integration
MeasurementBasedCare.tsx,MeasurementBasedCare,MeasurementBasedCare,"clinical_supervisor, certified_clinician",Administer and track standardized clinical instruments,"PHQ-9, GAD-7, AUDIT, DAST, Others",Administer instrument; score; track trends,Partial (local state),Page-local instrument data,None,No,No,No,No,~800,Clinical Assessment,2,Demo,No instrument license; no validated scoring backend
IncidentReporting.tsx,IncidentReporting,IncidentReporting,"nursing, bht, bht_supervisor, clinical_supervisor",Document and manage clinical incidents,"Active Reports, Closed, Analytics",Create report; document details; escalate; close,Partial (local state),Page-local incident data,None,No,No,No,No,~700,Safety/Compliance,2,Demo,No persistence; no real reporting workflow
StaffScheduling.tsx,StaffScheduling,StaffScheduling,"director_of_operations, human_resources",Staff scheduling and shift management,"Week View, Shift Assignment, PTO, Coverage",Assign shifts; manage PTO; detect conflicts,Partial (local state),mockStaff + page-local schedule,None,No,No,No,No,1323,Workforce,2,Demo,No persistence; no real schedule backend
MATManagement.tsx,MATManagement,MATManagement,"prescriber, cmo, nursing",Medication-Assisted Treatment program management,"Patient List, Orders, Dosing, Compliance",Manage MAT patients; document dosing; track compliance,Partial (local state),mockPatients + page-local MAT data,None,No,No,No,No,~700,Medication,2,Demo,No e-prescribing; no pharmacy integration; no persistence
FamilyEngagement.tsx,FamilyEngagement,FamilyEngagement,"certified_clinician, clinical_supervisor, aftercare_staff",Family engagement and education tracking,"Contact Log, Education, Consent",Log family contacts; document education; manage consent,Partial (local state),mockPatients + page-local family data,None,No,No,No,No,~600,Care Coordination,1.5,Demo,No persistence; no secure messaging for family
PhysicianOrders.tsx,PhysicianOrders,PhysicianOrders,"prescriber, cmo",Physician order management,"Orders, Pending, Completed",Write orders; review; complete; cosign,Partial (local state),mockPatients + page-local order data,None,No,No,Yes,Yes,~700,Medical,2,Demo,No CPOE backend; no e-prescribing; no PDMP
PopulationAnalytics.tsx,PopulationAnalytics,PopulationAnalytics,"director_of_operations, ownership, cmo",Population-level analytics and reporting,"Demographics, Clinical, Financial, Operational",View population metrics; filter; drill down,Demo (local state),Page-local mock analytics data,None,No,No,No,No,~800,Analytics,2,Demo,All mock data; no real population query engine
NursingMAR.tsx,NursingMAR,NursingMAR,"nursing, bht_supervisor",Medication Administration Record,"Patient MAR, Schedule, History",Administer medications; document given/held/refused,Partial (local state),mockMedications + page-local MAR data,None,No,No,Yes,Yes,~900,Nursing/Medication,2,Demo,No persistence; no duplicate-dose prevention backend; no pharmacy
ShiftHandoff.tsx,ShiftHandoff,ShiftHandoff,"nursing, bht_supervisor",Nursing shift handoff notes and report,"Patient Summary, Notes, Alerts",Document handoff notes; export SBAR; filter by type,Partial (local state),mockPatients + page-local handoff data,None,No,No,Yes,Yes,~700,Nursing Operations,2,Demo,No persistence; no real secure delivery to receiving nurse
QualityImprovement.tsx,QualityImprovement,QualityImprovement,"director_of_operations, cmo",Quality improvement program management,"Metrics, Initiatives, PDSA Cycles",Track QI metrics; manage PDSA cycles; document,Partial (local state),Page-local QI data,None,No,No,No,No,~700,Quality,2,Demo,No persistence; no real QI data integration
InsuranceAuthorization.tsx,InsuranceAuthorization,InsuranceAuthorization,"billing_staff, clinical_supervisor",Insurance prior authorization management,"Active Auths, Pending, Expired",Create authorization; track days; manage concurrent reviews,Partial (local state),Page-local auth data,None,No,No,No,No,~700,Revenue Cycle,2,Demo,No payer API; no real authorization submission
AftercarePlanning.tsx,AftercarePlanning,AftercarePlanning,"aftercare_staff, clinical_supervisor",Aftercare and continuing care planning,"Active Plans, Referrals, Follow-Up"],Create aftercare plan; assign providers; schedule follow-up,Partial (local state),mockPatients + page-local aftercare data,None,No,No,No,No,~600,Care Coordination,2,Demo,No persistence; no provider directory integration
MyCaseload.tsx,MyCaseload,MyCaseload,"certified_clinician, mh_therapist",Clinician personal caseload view and task management,"Caseload, Tasks, Notes Due"],View caseload; manage tasks; identify overdue notes,Partial (local state),mockPatients + page-local caseload data,None,No,No,No,No,~700,Clinical Productivity,2.5,Demo,No persistence; no real task assignment backend
BiopsychosocialAssessment.tsx,BiopsychosocialAssessment,BiopsychosocialAssessment,"clinical_supervisor, certified_clinician",Comprehensive biopsychosocial assessment form,"Multiple BPS domains",Complete multi-domain assessment; sign; submit,Partial (local state),Page-local BPS assessment data,None,No,No,Yes,Yes,~900,Clinical Assessment,2.5,Demo,No persistence; BPS forms not persisted
DischargeSummary.tsx,DischargeSummary,DischargeSummary,"clinical_supervisor, certified_clinician",Discharge summary document authoring,"Summary, Medications, Aftercare, Safety Plan"],Author discharge summary; sign; generate document,Partial (local state),mockPatients + page-local summary data,None,No,No,Yes,Yes,~700,Discharges,2.5,Demo,No persistence; no real document generation/delivery
CrisisAssessment.tsx,CrisisAssessment,CrisisAssessment,"clinical_supervisor, certified_clinician, nursing",Crisis safety assessment and planning,"Risk Assessment, Safety Plan, Action Items"],Complete risk assessment; document safety plan; escalate,Partial (local state),mockPatients + page-local crisis data,None,No,No,Yes,Yes,~700,Clinical Safety,2.5,Demo,No persistence; no real escalation routing
AlumniProgram.tsx,AlumniProgram,AlumniProgram,"aftercare_staff, admin_staff",Alumni engagement and recovery program management,"Alumni List, Events, Outreach, Outcomes"],Manage alumni contacts; schedule events; track engagement,Partial (local state),Page-local alumni data,None,No,No,No,No,~600,Alumni/Aftercare,1.5,Demo,No CRM integration; no persistence
TelehealthConsults.tsx,TelehealthConsults,TelehealthConsults,"certified_clinician, prescriber, cmo",Telehealth consultation management,"Upcoming, Completed, Connect"],View telehealth schedule; launch session (placeholder),Demo (UI placeholder),Page-local telehealth data,None,No,No,No,No,~600,Telehealth,1,Demo,No real video platform integration; placeholder only
ClinicalSupervision.tsx,ClinicalSupervision,ClinicalSupervision,"clinical_supervisor",Clinical supervision session tracking and documentation,"Supervisee List, Sessions, Notes, Requirements"],Document supervision sessions; track hours; review notes,Partial (local state),mockStaff + page-local supervision data,None,No,No,No,No,~700,Workforce/Clinical,2,Demo,No persistence; no real supervision tracking backend
MedicalRecords.tsx,MedicalRecords,MedicalRecords,"admin_staff, clinical_supervisor",Medical records and ROI management,"Chart Archive, ROI Queue, 42 CFR Guide"],Manage chart requests; process ROI with 42 CFR compliance; generate notices,Partial (local state + ROI form),mockPatients + page-local ROI data,None,No,No,No,No,~800,Medical Records/Compliance,2,Demo,No persistence; no real records delivery; 42 CFR enforcement is UI-only
PeerSupport.tsx,PeerSupport,PeerSupport,"bht, bht_supervisor, aftercare_staff",Peer support program management and documentation,"Peer Specialists, Sessions, Goals"],Document peer support sessions; track goals; manage specialists,Partial (local state),mockStaff + page-local peer data,None,No,No,No,No,~600,Peer Support,1.5,Demo,No persistence; no credentialing integration
FinancialCounseling.tsx,FinancialCounseling,FinancialCounseling,"billing_staff, admin_staff",Financial counseling and patient financial assistance,"Assessments, Payment Plans, Assistance Programs"],Complete financial assessment; manage payment plans; document assistance,Partial (local state),Page-local financial data,None,No,No,No,No,~600,Financial,1.5,Demo,No persistence; no payment processor integration
GroupTherapyCurriculum.tsx,GroupTherapyCurriculum,GroupTherapyCurriculum,"clinical_supervisor, certified_clinician",Group therapy curriculum and session planning library,"Curriculum Library, Sessions, Topics"],Browse curriculum; plan group sessions; assign topics,Partial (local state),Page-local curriculum data,None,No,No,No,No,~600,Clinical Programming,2,Demo,No LMS integration; content is static mock data
CertificationTracker.tsx,CertificationTracker,CertificationTracker,"human_resources, director_of_operations",Staff certification and licensure expiration tracking,"All Staff, Expiring, Expired, Renewal Queue"],Track certifications; set expiration alerts; manage renewals,Partial (local state),mockStaff + page-local cert data,None,No,No,No,No,~600,Workforce Compliance,2,Demo,No persistence; no real credentialing verification API
WaitlistManager.tsx,WaitlistManager,WaitlistManager,"admin_staff, admissions",Waitlist management for admissions,"Active Waitlist, Prioritization, Outreach"],Manage waitlist; prioritize; contact prospects,Partial (local state),Page-local waitlist data,None,No,No,No,No,~600,Admissions,2,Demo,No persistence; no automated outreach
SecureMessaging.tsx,SecureMessaging,SecureMessaging,"clinical_supervisor, certified_clinician, nursing",HIPAA-compliant internal secure messaging,"Inbox, Compose, Sent, Conversations"],Compose message; send; read; reply,Partial (local state),Page-local message data,None,No,No,No,No,~700,Communication,1.5,Demo,No real messaging backend; all simulated
FormularyManagement.tsx,FormularyManagement,FormularyManagement,"prescriber, cmo, nursing",Drug formulary management and approval workflow,"Formulary List, Pending Approvals, Restricted"],View formulary; approve/restrict medications; manage tiers,Partial (local state),mockMedications + page-local formulary data,None,No,No,No,No,~600,Medication,2,Demo,No pharmacy integration; no real formulary data source
WithdrawalMonitor.tsx,WithdrawalMonitor,WithdrawalMonitor,"nursing, bht_supervisor, prescriber",CIWA-Ar and COWS withdrawal monitoring,"CIWA-Ar, COWS, Score History, Alerts"],Complete CIWA/COWS; score; alert at threshold; document,Partial (local state),mockPatients + page-local withdrawal data,None,No,No,Yes,Yes,~800,Nursing/Medical Safety,2.5,Demo,No persistence; no real escalation routing; scores lost on refresh
WorkforceCompliance.tsx,WorkforceCompliance,WorkforceCompliance,"director_of_operations, human_resources",CARF/Joint Commission workforce compliance tracking,"Requirements, Evidence, Corrective Actions, Audit Trail"],Track compliance requirements; upload evidence; enter corrective actions; view readiness score,Partial (localStorage for compliance state),mockCompliance + localStorage,localStorage (filter/evidence/corrective actions),No,No,No,No,4300,Workforce Compliance,3,Demo/Partial,localStorage only; no file upload; no real auditor workflow
AIAssistant.tsx,AIAssistant,AIAssistant,"clinical_supervisor, certified_clinician",Standalone conversational AI assistant interface,None,Chat with AI assistant,Demo (UI placeholder; no real AI backend),None,None,No,No,No,No,~500,AI/Intelligence,1,Demo,No real AI backend; chat interface is placeholder
ClinicalIntelligence.tsx,ClinicalIntelligence,ClinicalIntelligence,"clinical_supervisor, cmo, director_of_operations",Clinical analytics and population intelligence dashboard,"Population, Programs, Outcomes, Predictive"],View clinical intelligence; predictive analytics; population health,Demo (mock data only),Page-local mock analytics,None,No,No,No,No,~700,AI/Analytics,2,Demo,All mock data; no real ML/analytics engine
DAPNoteWorkflow.tsx,DAPNoteWorkflow,DAPNoteWorkflow,"certified_clinician, mh_therapist",DAP (Data-Assessment-Plan) note workflow,"Note List, New Note, Review"],Write DAP notes; review; sign,Partial (local state),mockPatients + page-local DAP data,None,No,No,Yes,Yes,1356,Clinical Documentation,2.5,Demo,No persistence; separate from ProgressNotes; may create duplication
ClinicalForms.tsx,ClinicalForms,ClinicalForms,"clinical_supervisor, certified_clinician",Admissions clinical screening and consent forms,"Substance Use Screening, Mental Health Screening, Consent Forms"],Complete multi-section screening; collect consent; score,Partial (local state),Page-local form data,None,No,No,Yes,Yes,1927,Clinical Assessment/Admissions,2.5,Demo,No persistence; consent not stored; screening not linked to admission record
ChartAuditTool.tsx,ChartAuditTool,ChartAuditTool,"clinical_supervisor, director_of_operations",Clinical chart quality audit tool,"Audit Queue, Findings, Scoring"],Audit chart; document findings; score quality,Partial (local state),mockPatients + page-local audit data,None,No,No,No,No,~700,Quality/Compliance,2,Demo,No persistence; no real audit workflow integration
OrderEntry.tsx,OrderEntry,OrderEntry,"prescriber, cmo, nursing",Clinical order entry for labs and tests,"Lab Orders, Imaging, Referrals"],Enter lab/imaging orders; view results,Partial (local state),mockLabs + page-local order data,None,No,No,Yes,Yes,~700,Medical,2,Demo,No real order routing; no lab integration; mock results
Outcomes.tsx,Outcomes,Outcomes,"director_of_operations, cmo",Program-level outcome reporting and benchmarking,None (inline tabs),View outcome metrics; compare programs; benchmark,Demo (local state),Page-local mock outcome data,None,No,No,No,No,~700,Outcomes,2,Demo,All mock data; no real outcome data
StaffAdmin.tsx,StaffAdmin,StaffAdmin,"human_resources, security_admin",Staff account and access administration,"Staff List, Access Control, Audit"],Manage staff accounts; configure access; view audit log,Partial (local state),mockStaff,None,No,No,No,No,~700,Administration,2,Demo,No persistence; no real IAM integration
RoleExplorer.tsx,RoleExplorer,RoleExplorer,All (demo),Visual role-permission explorer for all 17 roles,"Role List, Permission Grid"],Browse roles; view permissions per screen,Wired (reads from mockRoles),mockRoles.ts (live),None,No,No,No,No,~600,Demo/Sales,3,Demo,Read-only viewer; good for demos; no role editing
TourEngine.tsx,TourEngine,TourEngine,All,Guided product tour orchestrator,None,Run interactive guided tour through features,Wired (navigation-based),None,None,No,No,No,No,~400,Demo/Sales,3,Demo,Demo-only feature; production relevance unclear
LoginPage.tsx,LoginPage,Login,All,Authentication entry point with staff picker,"Staff Search, Profile Cards"],Select staff profile; "sign in",Demo only (no credentials),mockStaff + demoExpansion,None,No,No,No,No,~500,Authentication,1,Demo,No real authentication; staff picker only; no credentials or MFA
Stubs.tsx,Stubs,Various stub routes,Various,Placeholder pages for future screens,None,No actions; stub UI only,No,None,None,No,No,No,No,~200,Stub/Placeholder,0,Missing,All stubs need real implementation
not-found.tsx,NotFound,404,All,404 error page,None,Navigate back,Wired,None,None,No,No,No,No,~100,Platform,3,Production-ready,Complete
