ID,Domain,Gap,Evidence,Priority,Classification,Risk,UserImpact,BusinessImpact,RecommendedTask,Dependencies,EstimatedComplexity
SUN-023,Security,Encryption at rest unverified,No database encryption config because no real storage exists,P0,Compliance or Security,PHI could be stored without required protection,Customers cannot assess data safeguards,Security reviews and BAAs delayed,Enable managed encryption at rest and document key controls,"Cloud database, KMS",L
SUN-024,Security,Encryption in transit unverified,No production API deployment connected,P1,Compliance or Security,Traffic may be exposed or downgraded,Users lack confidence in secure access,Deployment approval blocked,Enforce TLS and secure headers at production layer,"Production hosting, API",M
SUN-025,Security,No secrets management,No demonstrated storage or rotation of production secrets,P0,Compliance or Security,Credentials and integration keys may leak,Operators cannot safely configure environments,Incident and operational risk increase,Use managed secrets vault with rotation and access auditing,"Cloud platform, deployment pipeline",M
SUN-026,Security,No threat modeling,Clinical workflows lack documented abuse cases,P1,Compliance or Security,High-impact attack paths may be missed,Security behavior is inconsistent across features,Enterprise security review may fail,Perform threat modeling and track mitigations,"Architecture, security review",M
SUN-027,Security,No vulnerability management,No dependency or application scanning process shown,P1,Compliance or Security,Known vulnerabilities may reach production,Users exposed to avoidable security defects,Customers may reject procurement,Add automated scanning with triage and patch SLAs,"CI/CD, security tooling",M
SUN-028,Tenancy,Single-organization demo only,Application models one organization,P0,Launch Blocker,Data could cross organization boundaries when expanded,Customers cannot securely share infrastructure,Multi-customer SaaS revenue blocked,Implement tenant model with tenant-aware storage and scoping,"Database, auth, authorization",XL
SUN-029,Tenancy,No tenant isolation tests,No tests verify cross-tenant access prevention,P0,Compliance or Security,Isolation regressions could expose PHI,Administrators cannot prove boundaries,Enterprise and compliance risk unacceptable,Create automated isolation tests for every resource and role,"Multi-tenant backend, test framework",L
SUN-030,Tenancy,No tenant configuration,Branding and settings are not tenant-scoped,P1,Enterprise Readiness,One customer settings may affect another,Customers cannot configure workflows independently,Onboarding and support become manual,Add tenant-scoped configuration and administration,"Tenant model, admin UI",L
SUN-031,Integrations,No clearinghouse integration,No claim clearinghouse connection or submission workflow,P0,Revenue Risk,Claims cannot reach payers,Billing staff must use external manual processes,Revenue collection cannot scale,Integrate clearinghouse submission and status updates,"Credentials, claim model, payer testing",XL
SUN-032,Integrations,No eligibility integration,Eligibility verification has no payer connection,P0,Revenue Risk,Coverage errors discovered after service,Staff cannot confirm benefits before treatment,Denials and uncompensated care increase,Integrate real-time eligibility verification,"Clearinghouse, payer mappings",L
SUN-033,Integrations,No e-prescribing integration,E-prescribing absent,P0,Clinical Safety,Medication orders may be delayed or transcribed incorrectly,Prescribers cannot send prescriptions electronically,Care delivery and adoption blocked,Integrate certified e-prescribing network,"Prescriber credentials, pharmacy network",XL
SUN-034,Integrations,No laboratory integration,No lab ordering or results interface exists,P1,Clinical Safety,Results may be delayed or manually misread,Clinicians lack integrated lab context,Clinical workflows remain fragmented,Add HL7/FHIR lab interfaces and result matching,"Interface engine, patient identity",XL
SUN-035,Integrations,No pharmacy integration,Pharmacy coordination not connected,P1,Clinical Safety,Medication fulfillment status unknown,Staff cannot coordinate prescriptions and refills,Medication service quality suffers,Integrate pharmacy messages and fills,"E-prescribing, pharmacy partners",L
SUN-036,Revenue Cycle,Revenue cycle is UI-only,Billing screens do not submit real claims,P0,Revenue Risk,Displayed billing state does not reflect payer state,Billing users cannot complete their work in Sunrise,Revenue operations cannot depend on the product,Implement charge capture and claim submission workflow,"Database, clearinghouse, eligibility",XL
SUN-037,Revenue Cycle,No claim validation,No production rules validate required claim fields,P1,Revenue Risk,Claims may reject or deny,Billers receive late correction work,Days in A/R and denial rates increase,Add pre-submit validation for payer and diagnosis data,"Claim model, payer rules",L
SUN-038,Revenue Cycle,No denial management,No durable denial queue or appeal workflow exists,P1,Revenue Risk,Denied revenue is not recovered,Revenue staff cannot prioritize follow-up,Net collection rate declines,Build denial work queues and appeal management,"Claims integration, audit",L
SUN-039,Revenue Cycle,No remittance posting,No ERA or payment reconciliation exists,P1,Revenue Risk,Payments cannot be matched to claims,Finance teams must reconcile manually,Cash application and reporting remain costly,Integrate ERA/835 processing and payment posting,"Clearinghouse, accounting",L
SUN-040,Telehealth,Telehealth is a UI placeholder,Telehealth controls do not launch real sessions,P0,Launch Blocker,Sessions may be insecure or unavailable,Patients and clinicians cannot conduct virtual visits,Virtual-care offering cannot launch,Integrate HIPAA-capable video with consent and session records,"Video vendor, auth, consent",XL
SUN-041,Patient Portal,No patient portal exists,Patient-facing portal does not exist,P0,Launch Blocker,Patients lack secure access to services,Patients cannot complete forms or view care plans,Competitive and engagement goals blocked,Build secure patient portal with identity and messaging,"Auth, tenant model, backend",XL
SUN-042,Notifications,Real-time notifications simulated,Notification events are represented locally only,P1,Clinical Safety,Urgent events may not reach responsible staff,Users cannot trust alerts across sessions,Safety and operational reliability reduced,Implement durable event delivery with acknowledgment,"Backend, notification provider",XL
SUN-043,Medication,Medication backend absent,Medication data is local UI state,P0,Clinical Safety,Orders and administration history can disappear or conflict,Nurses cannot trust the MAR,Medication safety and liability risk severe,Build durable medication and administration record services,"Database, e-prescribing, authorization",XL
SUN-044,Medication,No MAR administration persistence,Medication given or held events not durably recorded,P0,Clinical Safety,Duplicate or missed doses may occur,Staff cannot verify administration history,Clinical risk and compliance exposure increase,Persist MAR events with actor and audit trail,"Medication backend, audit",L
SUN-045,Medication,No medication reconciliation workflow,Admission and discharge reconciliation absent,P1,Clinical Safety,Medication discrepancies can reach patients,Clinicians must manually compare lists,Adverse events and rework increase,Add reconciliation queues and discrepancy resolution,"Medication model, clinical workflows",L
SUN-046,Medication,No interaction or allergy checking,No drug decision support integration present,P1,Clinical Safety,Unsafe combinations or allergies may be missed,Prescribers lack safety warnings,Clinical safety weakened,Integrate drug database checks with override reasons,"E-prescribing, medication database",L
SUN-047,Clinical Notes,No signed-note immutability,No durable signing or amendment process exists,P0,Compliance or Security,Clinical records can be silently changed,Clinicians cannot distinguish original notes from amendments,Legal and compliance defensibility poor,Implement signatures and immutable versions with audit events,"Auth, audit, database",L
SUN-048,Clinical Notes,Missing nursing note type,Standalone nursing notes not supported,P1,Clinical Safety,Nursing observations may be recorded in unsuitable fields,Nurses cannot document efficiently,Clinical completeness and adoption suffer,Add nursing note template with permissions and signatures,"Notes backend, role model",M
SUN-049,Documents,Document upload non-functional,Upload workflow does not store or retrieve real files,P1,Clinical Safety,Referral and consent documents may be unavailable,Staff cannot attach supporting records,Care coordination and onboarding slow down,Implement encrypted object storage with access control,"Storage, auth, audit",L
SUN-050,Testing,No integration tests,There are no integration test files,P0,Launch Blocker,Cross-feature failures can reach production,Users encounter broken workflows after changes,Release confidence is low,Create API database and workflow integration test suites,"Backend implementation, test environment",L
SUN-051,Testing,No end-to-end tests,No e2e tests exist,P0,Launch Blocker,Critical user journeys are unverified,Regression defects reach staff and patients,Production quality and procurement confidence suffer,Add browser e2e coverage for intake notes MAR and permissions,"Test environment, stable APIs",L
SUN-052,Testing,Limited unit test scope,7 unit test files cover only AI/clarity configuration,P1,Technical Debt,Core domain logic is effectively untested,Clinical workflows can regress unnoticed,Maintenance cost and release risk increase,Add unit tests for domain services validation and authorization,"Backend/domain services",L
SUN-053,Testing,No clinical safety test suite,Medication assessment alert and documentation rules lack automated tests,P0,Clinical Safety,High-risk behavior may be incorrect,Staff may receive wrong warnings or workflow states,Safety incidents and liability exposure increase,Define safety cases and automated regression tests,"Clinical rules, test framework",L
SUN-054,Testing,No accessibility test automation,No automated axe or keyboard checks shown,P1,Usability,Accessibility defects persist unnoticed,Users with disabilities may be excluded,Procurement and legal risk increase,Add automated and manual accessibility testing to CI,"Accessibility standards, CI/CD",M
SUN-055,Mobile,Responsive layout gaps,Mobile and narrow-screen workflows are incomplete,P1,Usability,Important controls may be clipped or unusable,Staff on phones or tablets struggle during care,Mobile adoption and field productivity decline,Audit all breakpoints and implement responsive layouts,"Design system, device testing",L
SUN-056,Accessibility,Keyboard navigation incomplete,Interactive workflows not validated without a mouse,P1,Usability,Keyboard users may be blocked from clinical tasks,Staff using assistive technology cannot complete workflows,Accessibility commitments and procurement at risk,Audit focus order and keyboard operability for all workflows,"Accessibility testing",M
SUN-057,Accessibility,Screen-reader semantics incomplete,Complex cards dialogs and charts lack verified accessible names,P1,Usability,Important clinical information may be inaccessible,Screen-reader users cannot interpret status or actions,User exclusion and compliance risk increase,Add semantic landmarks labels and live regions,"Design system, accessibility testing",L
SUN-058,Accessibility,Color-only status communication,Risk and trend states rely on visual color cues,P1,Clinical Safety,Users may miss severity distinctions,Color-blind users receive ambiguous signals,Safety communication suffers,Add text icons and patterns for every severity state,"Design system, accessibility audit",M
SUN-059,Performance,Single SPA bundle oversized,Single SPA bundle exceeds 4.8 MB with a >500 KB chunk warning,P1,Usability,Slow loading can delay clinical access,Users on mobile or weak networks wait excessively,Lower conversion retention and productivity,Split routes and lazy-load features,"Build tooling, performance profiling",M
SUN-060,Operations,No deployment environments,No clear development staging and production separation,P0,Launch Blocker,Test data may affect live users,Teams cannot safely validate releases,Production launch and regulated operations are unsafe,Create isolated environments with controlled promotion,"Cloud platform, CI/CD",L
SUN-061,Observability,No production error monitoring,No connected monitoring for frontend or backend failures,P1,Enterprise Readiness,Incidents may remain invisible,Users encounter failures without actionable support,MTTR and customer trust suffer,Add error tracking alerting and incident ownership,"Production deployment, observability platform",M
SUN-062,Interoperability,No FHIR capability,No FHIR resources or APIs available,P1,Competitive Parity,External systems cannot exchange standardized data,Providers face duplicate entry and fragmented records,Interoperability-driven deals at risk,Implement prioritized FHIR read/write APIs,"Backend, auth, interoperability partner",XL
SUN-063,Interoperability,No HL7 interface engine,Labs and clinical feeds have no transport layer,P1,Competitive Parity,Inbound data may be lost or misrouted,Staff lack timely external clinical information,Integration deployments become custom and costly,Adopt interface engine with monitoring and mapping,"Lab/pharmacy partners, patient matching",XL
SUN-064,Compliance,No consent management,Patient consent restrictions and revocation not modeled,P0,Compliance or Security,Records may be shared without valid authorization,Patients cannot control permitted disclosures,HIPAA and Part 2 exposure substantial,Build consent service with scoped access and disclosure audit,"Auth, audit, tenant model",XL
SUN-065,Compliance,No BAA and vendor control evidence,External processor compliance posture undocumented,P1,Enterprise Readiness,Vendors may process PHI without adequate agreements,Customers cannot complete compliance review,Sales cycles and deployments delayed,Create vendor inventory BAAs and evidence repository,"Legal, security program",M
SUN-066,Security,No rate limiting or abuse protection,No rate limits on any endpoints,P1,Compliance or Security,Brute force and denial-of-service may succeed,Users may experience account or service disruption,Security and availability risk increase,Add rate limits and lockout telemetry,"API gateway, auth",M
SUN-067,Security,No secure export controls,Exports lack verified authorization or tracking,P1,Compliance or Security,Bulk PHI can leave the system without oversight,Users may accidentally share sensitive records,Breach impact and compliance risk increase,Implement scoped exports with masking and audit,"Authorization, audit, document storage",L
SUN-068,Data Quality,No patient identity matching,No durable matching or duplicate-detection service exists,P0,Clinical Safety,Records can be merged or assigned incorrectly,Staff may view or document on wrong patient,Patient safety and privacy risk severe,Implement identity matching with review queues,"Patient model, backend",XL
SUN-069,Usability,No unsaved-change protection,Forms do not have durable draft or navigation safeguards,P1,Clinical Safety,Clinical documentation can be lost,Staff must recreate lengthy notes,Adoption and record completeness suffer,Add autosaved drafts and dirty-state warnings,"Persistence, draft model",M
SUN-070,Configuration,No clinical terminology governance,No controlled vocabulary or versioning exists,P1,Clinical Safety,Inconsistent terms can affect reporting and decisions,Staff see ambiguous or outdated options,Data quality and interoperability decline,Add terminology management and mappings,"Clinical governance, database",L
SUN-071,AI Governance,AI outputs lack production governance,AI configuration tests exist but no durable production controls,P1,Clinical Safety,Unreviewed AI content may influence care,Clinicians lack provenance and correction workflows,Trust and regulatory claims weaken,Add model registry human review and AI incident logging,"AI services, audit, security",XL
SUN-072,Security,Browser console logs patient context,createAuditEvent logs patientId and staffId to console in dev,P1,Compliance or Security,PHI-adjacent data exposed in developer tools,Developers and support may inadvertently log sensitive data,Production logging policy gap,Gate console logging on NODE_ENV and strip PHI fields,"Auth, logging config",S
SUN-073,Search,No durable cross-record search,Search operates over local demo state only,P1,Usability,Users may not find current information,Staff spend time navigating or use incomplete results,Productivity and adoption decline,Build authorized indexed search across patients notes and tasks,"Database, authorization, indexing",L
SUN-074,Reporting,No durable operational reporting,Dashboards cannot query production data,P1,Enterprise Readiness,Leaders lack trustworthy metrics,Managers cannot monitor census quality or revenue,Buyers cannot realize platform ROI,Create reporting schema filters and scheduled reports,"Persisted data, analytics architecture",L
SUN-075,Revenue Cycle,No authorization tracking backend,Prior authorization records and expiration alerts absent,P1,Revenue Risk,Services may be delivered without coverage approval,Staff lack visibility into authorization status,Avoidable denials and lost revenue increase,Add authorization lifecycle and alerts,"Eligibility, payer rules",L
SUN-076,Scheduling,Scheduling is UI-only,Calendar has no booking engine or conflict detection,P1,Usability,Double-booking and missed appointments possible,Staff must manage conflicts manually,Scheduling adoption and efficiency suffer,Implement booking engine with conflict detection and reminders,"Backend, notification service",XL
SUN-077,Clinical Notes,No co-signature backend enforcement,Co-sign queue exists in UI but no backend enforces completion,P1,Compliance or Security,Notes may be signed without required supervisor review,Clinicians may operate without supervision,Clinical governance and compliance risk,Enforce co-signature requirements at submission via backend,"Auth, notes backend, workflow engine",L
SUN-078,Eligibility,No eligibility response normalization,No common model for payer responses exists,P1,Technical Debt,Payer-specific results may be misinterpreted,Staff see inconsistent coverage information,Integration maintenance expensive,Normalize eligibility responses into consistent model,"Clearinghouse integration",M
SUN-079,Operations,No rollback process,No release or database rollback procedure exists,P1,Enterprise Readiness,Defective releases may remain active,Operators cannot quickly recover from incidents,Downtime and data corruption risk increase,Implement tested application and migration rollback,"Deployment pipeline, migrations",M
SUN-080,Mobile,No mobile offline strategy,No offline cache or sync reconciliation exists,P2,Enterprise Readiness,Connectivity loss interrupts work and loses inputs,Field staff cannot document in poor coverage areas,Distributed program deployments constrained,Define offline-safe workflows and sync conflict rules,"Backend, mobile architecture",XL
SUN-081,Usability,No reliable loading and error states,Local demo state masks production latency and failures,P1,Usability,Users may submit duplicates or believe work was saved,Staff lack clear feedback during operations,Support burden and workflow errors increase,Design consistent loading retry and failure states,"API integration, design system",M
SUN-082,Usability,No bulk workflow support,Common staff actions require individual interactions,P2,Usability,High-volume work is slow and error-prone,Teams cannot efficiently process queues,Labor costs and throughput suffer,Add safe bulk actions with previews and audit events,"Backend, authorization, audit",L
SUN-083,Revenue Cycle,No patient statements or collections,No patient responsibility workflow exists,P1,Revenue Risk,Patient balances go uncollected,Finance teams cannot generate or track statements,Revenue and collections remain incomplete,Implement patient statements and payment plans,"Billing backend, payment processor",L
SUN-084,Compliance,No breach response workflow,No incident classification or notification workflow exists,P1,Compliance or Security,Security incidents may be mishandled or reported late,Affected users lack timely information,Regulatory penalties and trust damage increase,Implement incident response runbooks and notification tracking,"Security monitoring, legal review",M
SUN-085,Operations,No CI/CD pipeline configured,No automated build test or deployment pipeline exists,P1,Enterprise Readiness,Manual releases are slow and error-prone,Changes reach users without automated verification,Release quality and velocity suffer,Configure CI/CD with build test security and deployment stages,"Cloud platform, testing suite",L
